date,Generic_Drug,daily_dispenses,daily_cost_volume,daily_cdsco_alerts,in_shortage,demand_lag_7d,demand_lag_30d,demand_rolling_avg_14d,alert_count_last_30d,day_of_week,month
2019-01-30,Amoxicillin,9.0,112.5,0.0,0,8.0,0.0,9.428571428571429,0.0,2,1
2019-01-31,Amoxicillin,13.0,162.5,0.0,0,11.0,14.0,9.357142857142858,0.0,3,1
2019-02-01,Amoxicillin,18.0,225.0,0.0,0,6.0,8.0,9.571428571428571,0.0,4,2
2019-02-02,Amoxicillin,8.0,100.0,0.0,0,7.0,8.0,10.5,0.0,5,2
2019-02-03,Amoxicillin,10.0,125.0,0.0,0,8.0,10.0,10.428571428571429,0.0,6,2
2019-02-04,Amoxicillin,17.0,212.5,0.0,0,8.0,11.0,10.214285714285714,0.0,0,2
2019-02-05,Amoxicillin,11.0,137.5,0.0,0,13.0,7.0,10.571428571428571,0.0,1,2
2019-02-06,Amoxicillin,12.0,150.0,0.0,0,9.0,14.0,10.5,0.0,2,2
2019-02-07,Amoxicillin,20.0,250.0,0.0,0,13.0,10.0,10.785714285714286,0.0,3,2
2019-02-08,Amoxicillin,9.0,112.5,0.0,0,18.0,14.0,11.428571428571429,0.0,4,2
2019-02-09,Amoxicillin,15.0,187.5,0.0,0,8.0,10.0,11.642857142857142,0.0,5,2
2019-02-10,Amoxicillin,11.0,137.5,0.0,0,10.0,12.0,12.214285714285714,0.0,6,2
2019-02-11,Amoxicillin,16.0,200.0,0.0,0,17.0,7.0,12.428571428571429,0.0,0,2
2019-02-12,Amoxicillin,16.0,200.0,0.0,0,11.0,15.0,13.0,0.0,1,2
2019-02-13,Amoxicillin,8.0,100.0,0.0,0,12.0,13.0,13.214285714285714,0.0,2,2
2019-02-14,Amoxicillin,15.0,187.5,0.0,0,20.0,7.0,13.142857142857142,0.0,3,2
2019-02-15,Amoxicillin,11.0,137.5,0.0,0,9.0,10.0,13.285714285714286,0.0,4,2
2019-02-16,Amoxicillin,15.0,187.5,0.0,0,15.0,10.0,12.785714285714286,0.0,5,2
2019-02-17,Amoxicillin,8.0,100.0,0.0,0,11.0,5.0,13.285714285714286,0.0,6,2
2019-02-18,Amoxicillin,14.0,175.0,0.0,0,16.0,9.0,13.142857142857142,0.0,0,2
2019-02-19,Amoxicillin,8.0,100.0,0.0,0,16.0,13.0,12.928571428571429,0.0,1,2
2019-02-20,Amoxicillin,18.0,225.0,0.0,0,8.0,12.0,12.714285714285714,0.0,2,2
2019-02-21,Amoxicillin,14.0,175.0,0.0,0,15.0,12.0,13.142857142857142,0.0,3,2
2019-02-22,Amoxicillin,13.0,162.5,0.0,0,11.0,8.0,12.714285714285714,0.0,4,2
2019-02-23,Amoxicillin,10.0,125.0,0.0,0,15.0,11.0,13.0,0.0,5,2
2019-02-24,Amoxicillin,11.0,137.5,0.0,0,8.0,6.0,12.642857142857142,0.0,6,2
2019-02-25,Amoxicillin,11.0,137.5,0.0,0,14.0,7.0,12.642857142857142,0.0,0,2
2019-02-26,Amoxicillin,13.0,162.5,0.0,0,8.0,8.0,12.285714285714286,0.0,1,2
2019-02-27,Amoxicillin,8.0,100.0,0.0,0,18.0,8.0,12.071428571428571,0.0,2,2
2019-02-28,Amoxicillin,15.0,187.5,0.0,0,14.0,13.0,12.071428571428571,0.0,3,2
2019-03-01,Amoxicillin,11.0,137.5,0.0,0,13.0,9.0,12.071428571428571,0.0,4,3
2019-03-02,Amoxicillin,10.0,125.0,0.0,0,10.0,13.0,12.071428571428571,0.0,5,3
2019-03-03,Amoxicillin,12.0,150.0,0.0,0,11.0,18.0,11.714285714285714,0.0,6,3
2019-03-04,Amoxicillin,8.0,100.0,0.0,0,11.0,8.0,12.0,0.0,0,3
2019-03-05,Amoxicillin,11.0,137.5,0.0,0,13.0,10.0,11.571428571428571,0.0,1,3
2019-03-06,Amoxicillin,12.0,150.0,0.0,0,8.0,17.0,11.785714285714286,0.0,2,3
2019-03-07,Amoxicillin,7.0,87.5,0.0,0,15.0,11.0,11.357142857142858,0.0,3,3
2019-03-08,Amoxicillin,12.0,150.0,0.0,0,11.0,12.0,10.857142857142858,0.0,4,3
2019-03-09,Amoxicillin,9.0,112.5,0.0,0,10.0,20.0,10.785714285714286,0.0,5,3
2019-03-10,Amoxicillin,11.0,137.5,0.0,0,12.0,9.0,10.714285714285714,0.0,6,3
2019-03-11,Amoxicillin,4.0,50.0,0.0,0,8.0,15.0,10.714285714285714,0.0,0,3
2019-03-12,Amoxicillin,13.0,162.5,0.0,0,11.0,11.0,10.214285714285714,0.0,1,3
2019-03-13,Amoxicillin,17.0,212.5,0.0,0,12.0,16.0,10.214285714285714,0.0,2,3
2019-03-14,Amoxicillin,5.0,62.5,0.0,0,7.0,16.0,10.857142857142858,0.0,3,3
2019-03-15,Amoxicillin,16.0,200.0,0.0,0,12.0,8.0,10.142857142857142,0.0,4,3
2019-03-16,Amoxicillin,11.0,137.5,0.0,0,9.0,15.0,10.5,0.0,5,3
2019-03-17,Amoxicillin,5.0,62.5,0.0,0,11.0,11.0,10.571428571428571,0.0,6,3
2019-03-18,Amoxicillin,7.0,87.5,0.0,0,4.0,15.0,10.071428571428571,0.0,0,3
2019-03-19,Amoxicillin,5.0,62.5,0.0,0,13.0,8.0,10.0,0.0,1,3
2019-03-20,Amoxicillin,16.0,200.0,0.0,0,17.0,14.0,9.571428571428571,0.0,2,3
2019-03-21,Amoxicillin,11.0,137.5,0.0,0,5.0,8.0,9.857142857142858,0.0,3,3
2019-03-22,Amoxicillin,12.0,150.0,0.0,0,16.0,18.0,10.142857142857142,0.0,4,3
2019-03-23,Amoxicillin,14.0,175.0,0.0,0,11.0,14.0,10.142857142857142,0.0,5,3
2019-03-24,Amoxicillin,24.0,300.0,0.0,0,5.0,13.0,10.5,0.0,6,3
2019-03-25,Amoxicillin,10.0,125.0,0.0,0,7.0,10.0,11.428571428571429,0.0,0,3
2019-03-26,Amoxicillin,10.0,125.0,0.0,0,5.0,11.0,11.857142857142858,0.0,1,3
2019-03-27,Amoxicillin,13.0,162.5,0.0,0,16.0,11.0,11.642857142857142,0.0,2,3
2019-03-28,Amoxicillin,12.0,150.0,0.0,0,11.0,13.0,11.357142857142858,0.0,3,3
2019-03-29,Amoxicillin,16.0,200.0,0.0,0,12.0,8.0,11.857142857142858,0.0,4,3
2019-03-30,Amoxicillin,14.0,175.0,0.0,0,14.0,15.0,11.857142857142858,0.0,5,3
2019-03-31,Amoxicillin,14.0,175.0,0.0,0,24.0,11.0,12.071428571428571,0.0,6,3
2019-04-01,Amoxicillin,17.0,212.5,0.0,0,10.0,10.0,12.714285714285714,0.0,0,4
2019-04-02,Amoxicillin,8.0,100.0,0.0,0,10.0,12.0,13.428571428571429,0.0,1,4
2019-04-03,Amoxicillin,9.0,112.5,0.0,0,13.0,8.0,13.642857142857142,0.0,2,4
2019-04-04,Amoxicillin,12.0,150.0,0.0,0,12.0,11.0,13.142857142857142,0.0,3,4
2019-04-05,Amoxicillin,11.0,137.5,0.0,0,16.0,12.0,13.214285714285714,0.0,4,4
2019-04-06,Amoxicillin,6.0,75.0,0.0,0,14.0,7.0,13.142857142857142,0.0,5,4
2019-04-07,Amoxicillin,10.0,125.0,0.0,0,14.0,12.0,12.571428571428571,0.0,6,4
2019-04-08,Amoxicillin,10.0,125.0,0.0,0,17.0,9.0,11.571428571428571,0.0,0,4
2019-04-09,Amoxicillin,11.0,137.5,0.0,0,8.0,11.0,11.571428571428571,0.0,1,4
2019-04-10,Amoxicillin,15.0,187.5,0.0,0,9.0,4.0,11.642857142857142,0.0,2,4
2019-04-11,Amoxicillin,7.0,87.5,0.0,0,12.0,13.0,11.785714285714286,0.0,3,4
2019-04-12,Amoxicillin,10.0,125.0,0.0,0,11.0,17.0,11.428571428571429,0.0,4,4
2019-04-13,Amoxicillin,10.0,125.0,0.0,0,6.0,5.0,11.0,0.0,5,4
2019-04-14,Amoxicillin,13.0,162.5,0.0,0,10.0,16.0,10.714285714285714,0.0,6,4
2019-04-15,Amoxicillin,13.0,162.5,0.0,0,10.0,11.0,10.642857142857142,0.0,0,4
2019-04-16,Amoxicillin,13.0,162.5,0.0,0,11.0,5.0,10.357142857142858,0.0,1,4
2019-04-17,Amoxicillin,15.0,187.5,0.0,0,15.0,7.0,10.714285714285714,0.0,2,4
2019-04-18,Amoxicillin,10.0,125.0,0.0,0,7.0,5.0,11.142857142857142,0.0,3,4
2019-04-19,Amoxicillin,8.0,100.0,0.0,0,10.0,16.0,11.0,0.0,4,4
2019-04-20,Amoxicillin,16.0,200.0,0.0,0,10.0,11.0,10.785714285714286,0.0,5,4
2019-04-21,Amoxicillin,16.0,314.73,0.0,0,13.0,12.0,11.5,0.0,6,4
2019-04-22,Amoxicillin,11.0,137.5,0.0,0,13.0,14.0,11.928571428571429,0.0,0,4
2019-04-23,Amoxicillin,13.0,162.5,0.0,0,13.0,24.0,12.0,0.0,1,4
2019-04-24,Amoxicillin,19.0,237.5,0.0,0,15.0,10.0,12.142857142857142,0.0,2,4
2019-04-25,Amoxicillin,13.0,162.5,0.0,0,10.0,10.0,12.428571428571429,0.0,3,4
2019-04-26,Amoxicillin,14.0,175.0,0.0,0,8.0,13.0,12.857142857142858,0.0,4,4
2019-04-27,Amoxicillin,13.0,162.5,0.0,0,16.0,12.0,13.142857142857142,0.0,5,4
2019-04-28,Amoxicillin,12.0,150.0,0.0,0,16.0,16.0,13.357142857142858,0.0,6,4
2019-04-29,Amoxicillin,16.0,200.0,0.0,0,11.0,14.0,13.285714285714286,0.0,0,4
2019-04-30,Amoxicillin,10.0,125.0,0.0,0,13.0,14.0,13.5,0.0,1,4
2019-05-01,Amoxicillin,8.0,100.0,0.0,0,19.0,17.0,13.285714285714286,0.0,2,5
2019-05-02,Amoxicillin,9.0,112.5,0.0,0,13.0,8.0,12.785714285714286,0.0,3,5
2019-05-03,Amoxicillin,14.0,175.0,0.0,0,14.0,9.0,12.714285714285714,0.0,4,5
2019-05-04,Amoxicillin,10.0,125.0,0.0,0,13.0,12.0,13.142857142857142,0.0,5,5
2019-05-05,Amoxicillin,9.0,112.5,0.0,0,12.0,11.0,12.714285714285714,0.0,6,5
2019-05-06,Amoxicillin,15.0,187.5,0.0,0,16.0,6.0,12.214285714285714,0.0,0,5
2019-05-07,Amoxicillin,9.0,112.5,0.0,0,10.0,10.0,12.5,0.0,1,5
2019-05-08,Amoxicillin,9.0,112.5,0.0,0,8.0,10.0,12.214285714285714,0.0,2,5
2019-05-09,Amoxicillin,15.0,187.5,0.0,0,9.0,11.0,11.5,0.0,3,5
2019-05-10,Amoxicillin,9.0,112.5,0.0,0,14.0,15.0,11.642857142857142,0.0,4,5
2019-05-11,Amoxicillin,13.0,162.5,0.0,0,10.0,7.0,11.285714285714286,0.0,5,5
2019-05-12,Amoxicillin,6.0,75.0,0.0,0,9.0,10.0,11.285714285714286,0.0,6,5
2019-05-13,Amoxicillin,8.0,100.0,0.0,0,15.0,10.0,10.857142857142858,0.0,0,5
2019-05-14,Amoxicillin,10.0,125.0,0.0,0,9.0,13.0,10.285714285714286,0.0,1,5
2019-05-15,Amoxicillin,10.0,125.0,0.0,0,9.0,13.0,10.285714285714286,0.0,2,5
2019-05-16,Amoxicillin,13.0,162.5,0.0,0,15.0,13.0,10.428571428571429,0.0,3,5
2019-05-17,Amoxicillin,11.0,137.5,0.0,0,9.0,15.0,10.714285714285714,0.0,4,5
2019-05-18,Amoxicillin,18.0,225.0,0.0,0,13.0,10.0,10.5,0.0,5,5
2019-05-19,Amoxicillin,12.0,150.0,0.0,0,6.0,8.0,11.071428571428571,0.0,6,5
2019-05-20,Amoxicillin,18.0,225.0,0.0,0,8.0,16.0,11.285714285714286,0.0,0,5
2019-05-21,Amoxicillin,10.0,125.0,0.0,0,10.0,16.0,11.5,0.0,1,5
2019-05-22,Amoxicillin,9.0,112.5,0.0,0,10.0,11.0,11.571428571428571,0.0,2,5
2019-05-23,Amoxicillin,11.0,137.5,0.0,0,13.0,13.0,11.571428571428571,0.0,3,5
2019-05-24,Amoxicillin,15.0,187.5,0.0,0,11.0,19.0,11.285714285714286,0.0,4,5
2019-05-25,Amoxicillin,9.0,112.5,0.0,0,18.0,13.0,11.714285714285714,0.0,5,5
2019-05-26,Amoxicillin,16.0,200.0,0.0,0,12.0,14.0,11.428571428571429,0.0,6,5
2019-05-27,Amoxicillin,11.0,137.5,0.0,0,18.0,13.0,12.142857142857142,0.0,0,5
2019-05-28,Amoxicillin,12.0,150.0,0.0,0,10.0,12.0,12.357142857142858,0.0,1,5
2019-05-29,Amoxicillin,18.0,225.0,0.0,0,9.0,16.0,12.5,0.0,2,5
2019-05-30,Amoxicillin,19.0,237.5,0.0,0,11.0,10.0,13.071428571428571,0.0,3,5
2019-05-31,Amoxicillin,9.0,112.5,0.0,0,15.0,8.0,13.5,0.0,4,5
2019-06-01,Amoxicillin,10.0,125.0,0.0,0,9.0,9.0,13.357142857142858,0.0,5,6
2019-06-02,Amoxicillin,14.0,175.0,0.0,0,16.0,14.0,12.785714285714286,0.0,6,6
2019-06-03,Amoxicillin,12.0,150.0,0.0,0,11.0,10.0,12.928571428571429,0.0,0,6
2019-06-04,Amoxicillin,10.0,125.0,0.0,0,12.0,9.0,12.5,0.0,1,6
2019-06-05,Amoxicillin,15.0,187.5,0.0,0,18.0,15.0,12.5,0.0,2,6
2019-06-06,Amoxicillin,13.0,162.5,0.0,0,19.0,9.0,12.928571428571429,0.0,3,6
2019-06-07,Amoxicillin,14.0,175.0,0.0,0,9.0,9.0,13.071428571428571,0.0,4,6
2019-06-08,Amoxicillin,12.0,150.0,0.0,0,10.0,15.0,13.0,0.0,5,6
2019-06-09,Amoxicillin,7.0,87.5,0.0,0,14.0,9.0,13.214285714285714,0.0,6,6
2019-06-10,Amoxicillin,7.0,87.5,0.0,0,12.0,13.0,12.571428571428571,0.0,0,6
2019-06-11,Amoxicillin,14.0,175.0,0.0,0,10.0,6.0,12.285714285714286,0.0,1,6
2019-06-12,Amoxicillin,14.0,175.0,0.0,0,15.0,8.0,12.428571428571429,0.0,2,6
2019-06-13,Amoxicillin,12.0,150.0,0.0,0,13.0,10.0,12.142857142857142,0.0,3,6
2019-06-14,Amoxicillin,14.0,175.0,0.0,0,14.0,10.0,11.642857142857142,0.0,4,6
2019-06-15,Amoxicillin,12.0,150.0,0.0,0,12.0,13.0,12.0,0.0,5,6
2019-06-16,Amoxicillin,8.0,100.0,0.0,0,7.0,11.0,12.142857142857142,0.0,6,6
2019-06-17,Amoxicillin,8.0,100.0,0.0,0,7.0,18.0,11.714285714285714,0.0,0,6
2019-06-18,Amoxicillin,13.0,162.5,0.0,0,14.0,12.0,11.428571428571429,0.0,1,6
2019-06-19,Amoxicillin,14.0,175.0,0.0,0,14.0,18.0,11.642857142857142,0.0,2,6
2019-06-20,Amoxicillin,12.0,150.0,0.0,0,12.0,10.0,11.571428571428571,0.0,3,6
2019-06-21,Amoxicillin,12.0,150.0,0.0,0,14.0,9.0,11.5,0.0,4,6
2019-06-22,Amoxicillin,9.0,112.5,0.0,0,12.0,11.0,11.357142857142858,0.0,5,6
2019-06-23,Amoxicillin,14.0,175.0,0.0,0,8.0,15.0,11.142857142857142,0.0,6,6
2019-06-24,Amoxicillin,14.0,175.0,0.0,0,8.0,9.0,11.642857142857142,0.0,0,6
2019-06-25,Amoxicillin,12.0,150.0,0.0,0,13.0,16.0,12.142857142857142,0.0,1,6
2019-06-26,Amoxicillin,19.0,237.5,0.0,0,14.0,11.0,12.0,0.0,2,6
2019-06-27,Amoxicillin,12.0,150.0,0.0,0,12.0,12.0,12.357142857142858,0.0,3,6
2019-06-28,Amoxicillin,7.0,87.5,0.0,0,12.0,18.0,12.357142857142858,0.0,4,6
2019-06-29,Amoxicillin,9.0,112.5,0.0,0,9.0,19.0,11.857142857142858,0.0,5,6
2019-06-30,Amoxicillin,11.0,137.5,0.0,0,14.0,9.0,11.642857142857142,0.0,6,6
2019-07-01,Amoxicillin,9.0,112.5,0.0,0,14.0,10.0,11.857142857142858,0.0,0,7
2019-07-02,Amoxicillin,7.0,87.5,0.0,0,12.0,14.0,11.928571428571429,0.0,1,7
2019-07-03,Amoxicillin,15.0,187.5,0.0,0,19.0,12.0,11.5,0.0,2,7
2019-07-04,Amoxicillin,13.0,162.5,0.0,0,12.0,10.0,11.571428571428571,0.0,3,7
2019-07-05,Amoxicillin,9.0,112.5,0.0,0,7.0,15.0,11.642857142857142,0.0,4,7
2019-07-06,Amoxicillin,15.0,187.5,0.0,0,9.0,13.0,11.428571428571429,0.0,5,7
2019-07-07,Amoxicillin,18.0,225.0,0.0,0,11.0,14.0,11.857142857142858,0.0,6,7
2019-07-08,Amoxicillin,10.0,125.0,0.0,0,9.0,12.0,12.142857142857142,0.0,0,7
2019-07-09,Amoxicillin,10.0,125.0,0.0,0,7.0,7.0,11.857142857142858,0.0,1,7
2019-07-10,Amoxicillin,13.0,162.5,0.0,0,15.0,7.0,11.714285714285714,0.0,2,7
2019-07-11,Amoxicillin,13.0,162.5,0.0,0,13.0,14.0,11.285714285714286,0.0,3,7
2019-07-12,Amoxicillin,12.0,150.0,0.0,0,9.0,14.0,11.357142857142858,0.0,4,7
2019-07-13,Amoxicillin,13.0,162.5,0.0,0,15.0,12.0,11.714285714285714,0.0,5,7
2019-07-14,Amoxicillin,10.0,125.0,0.0,0,18.0,14.0,12.0,0.0,6,7
2019-07-15,Amoxicillin,13.0,162.5,0.0,0,10.0,12.0,11.928571428571429,0.0,0,7
2019-07-16,Amoxicillin,10.0,125.0,0.0,0,10.0,8.0,12.214285714285714,0.0,1,7
2019-07-17,Amoxicillin,10.0,125.0,0.0,0,13.0,8.0,12.428571428571429,0.0,2,7
2019-07-18,Amoxicillin,11.0,137.5,0.0,0,13.0,13.0,12.071428571428571,0.0,3,7
2019-07-19,Amoxicillin,12.0,150.0,0.0,0,12.0,14.0,11.928571428571429,0.0,4,7
2019-07-20,Amoxicillin,8.0,100.0,0.0,0,13.0,12.0,12.142857142857142,0.0,5,7
2019-07-21,Amoxicillin,12.0,150.0,0.0,0,10.0,12.0,11.642857142857142,0.0,6,7
2019-07-22,Amoxicillin,6.0,75.0,0.0,0,13.0,9.0,11.214285714285714,0.0,0,7
2019-07-23,Amoxicillin,12.0,150.0,0.0,0,10.0,14.0,10.928571428571429,0.0,1,7
2019-07-24,Amoxicillin,16.0,200.0,0.0,0,10.0,14.0,11.071428571428571,0.0,2,7
2019-07-25,Amoxicillin,20.0,250.0,0.0,0,11.0,12.0,11.285714285714286,0.0,3,7
2019-07-26,Amoxicillin,13.0,162.5,0.0,0,12.0,19.0,11.785714285714286,0.0,4,7
2019-07-27,Amoxicillin,14.0,175.0,0.0,0,8.0,12.0,11.857142857142858,0.0,5,7
2019-07-28,Amoxicillin,11.0,137.5,0.0,0,12.0,7.0,11.928571428571429,0.0,6,7
2019-07-29,Amoxicillin,9.0,112.5,0.0,0,6.0,9.0,12.0,0.0,0,7
2019-07-30,Amoxicillin,14.0,175.0,0.0,0,12.0,11.0,11.714285714285714,0.0,1,7
2019-07-31,Amoxicillin,7.0,87.5,0.0,0,16.0,9.0,12.0,0.0,2,7
2019-08-01,Amoxicillin,18.0,225.0,0.0,0,20.0,7.0,11.785714285714286,0.0,3,8
2019-08-02,Amoxicillin,11.0,137.5,0.0,0,13.0,15.0,12.285714285714286,0.0,4,8
2019-08-03,Amoxicillin,13.0,162.5,0.0,0,14.0,13.0,12.214285714285714,0.0,5,8
2019-08-04,Amoxicillin,16.0,200.0,0.0,0,11.0,9.0,12.571428571428571,0.0,6,8
2019-08-05,Amoxicillin,9.0,112.5,0.0,0,9.0,15.0,12.857142857142858,0.0,0,8
2019-08-06,Amoxicillin,6.0,75.0,0.0,0,14.0,18.0,13.071428571428571,0.0,1,8
2019-08-07,Amoxicillin,8.0,100.0,0.0,0,7.0,10.0,12.642857142857142,0.0,2,8
2019-08-08,Amoxicillin,13.0,162.5,0.0,0,18.0,10.0,12.071428571428571,0.0,3,8
2019-08-09,Amoxicillin,16.0,200.0,0.0,0,11.0,13.0,11.571428571428571,0.0,4,8
2019-08-10,Amoxicillin,15.0,187.5,0.0,0,13.0,13.0,11.785714285714286,0.0,5,8
2019-08-11,Amoxicillin,11.0,137.5,0.0,0,16.0,12.0,11.857142857142858,0.0,6,8
2019-08-12,Amoxicillin,12.0,150.0,0.0,0,9.0,13.0,11.857142857142858,0.0,0,8
2019-08-13,Amoxicillin,11.0,137.5,0.0,0,6.0,10.0,12.071428571428571,0.0,1,8
2019-08-14,Amoxicillin,11.0,137.5,0.0,0,8.0,13.0,11.857142857142858,0.0,2,8
2019-08-15,Amoxicillin,11.0,137.5,0.0,0,13.0,10.0,12.142857142857142,0.0,3,8
2019-08-16,Amoxicillin,12.0,150.0,0.0,0,16.0,10.0,11.642857142857142,0.0,4,8
2019-08-17,Amoxicillin,11.0,137.5,0.0,0,15.0,11.0,11.714285714285714,0.0,5,8
2019-08-18,Amoxicillin,14.0,175.0,0.0,0,11.0,12.0,11.571428571428571,0.0,6,8
2019-08-19,Amoxicillin,20.0,250.0,0.0,0,12.0,8.0,11.428571428571429,0.0,0,8
2019-08-20,Amoxicillin,10.0,125.0,0.0,0,11.0,12.0,12.214285714285714,0.0,1,8
2019-08-21,Amoxicillin,15.0,187.5,0.0,0,11.0,6.0,12.5,0.0,2,8
2019-08-22,Amoxicillin,13.0,162.5,0.0,0,11.0,12.0,13.0,0.0,3,8
2019-08-23,Amoxicillin,8.0,100.0,0.0,0,12.0,16.0,13.0,0.0,4,8
2019-08-24,Amoxicillin,9.0,112.5,0.0,0,11.0,20.0,12.428571428571429,0.0,5,8
2019-08-25,Amoxicillin,12.0,150.0,0.0,0,14.0,13.0,12.0,0.0,6,8
2019-08-26,Amoxicillin,12.0,154.01,0.0,0,20.0,14.0,12.071428571428571,0.0,0,8
2019-08-27,Amoxicillin,9.0,112.5,0.0,0,10.0,11.0,12.071428571428571,0.0,1,8
2019-08-28,Amoxicillin,12.0,150.0,0.0,0,15.0,9.0,11.928571428571429,0.0,2,8
2019-08-29,Amoxicillin,12.0,150.0,0.0,0,13.0,14.0,12.0,0.0,3,8
2019-08-30,Amoxicillin,9.0,112.5,0.0,0,8.0,7.0,12.071428571428571,0.0,4,8
2019-08-31,Amoxicillin,6.0,75.0,0.0,0,9.0,18.0,11.857142857142858,0.0,5,8
2019-09-01,Amoxicillin,15.0,187.5,0.0,0,12.0,11.0,11.5,0.0,6,9
2019-09-02,Amoxicillin,14.0,175.0,0.0,0,12.0,13.0,11.571428571428571,0.0,0,9
2019-09-03,Amoxicillin,12.0,150.0,0.0,0,9.0,16.0,11.142857142857142,0.0,1,9
2019-09-04,Amoxicillin,9.0,112.5,0.0,0,12.0,9.0,11.285714285714286,0.0,2,9
2019-09-05,Amoxicillin,12.0,150.0,0.0,0,12.0,6.0,10.857142857142858,0.0,3,9
2019-09-06,Amoxicillin,8.0,100.0,0.0,0,9.0,8.0,10.785714285714286,0.0,4,9
2019-09-07,Amoxicillin,12.0,150.0,0.0,0,6.0,13.0,10.785714285714286,0.0,5,9
2019-09-08,Amoxicillin,19.0,237.5,0.0,0,15.0,16.0,11.0,0.0,6,9
2019-09-09,Amoxicillin,11.0,137.5,0.0,0,14.0,15.0,11.5,0.0,0,9
2019-09-10,Amoxicillin,7.0,87.5,0.0,0,12.0,11.0,11.428571428571429,0.0,1,9
2019-09-11,Amoxicillin,16.0,200.0,0.0,0,9.0,12.0,11.285714285714286,0.0,2,9
2019-09-12,Amoxicillin,12.0,150.0,0.0,0,12.0,11.0,11.571428571428571,0.0,3,9
2019-09-13,Amoxicillin,12.0,150.0,0.0,0,8.0,11.0,11.571428571428571,0.0,4,9
2019-09-14,Amoxicillin,10.0,125.0,0.0,0,12.0,11.0,11.785714285714286,0.0,5,9
2019-09-15,Amoxicillin,16.0,200.0,0.0,0,19.0,12.0,12.071428571428571,0.0,6,9
2019-09-16,Amoxicillin,15.0,187.5,0.0,0,11.0,11.0,12.142857142857142,0.0,0,9
2019-09-17,Amoxicillin,18.0,225.0,0.0,0,7.0,14.0,12.214285714285714,0.0,1,9
2019-09-18,Amoxicillin,13.0,162.5,0.0,0,16.0,20.0,12.642857142857142,0.0,2,9
2019-09-19,Amoxicillin,12.0,150.0,0.0,0,12.0,10.0,12.928571428571429,0.0,3,9
2019-09-20,Amoxicillin,13.0,162.5,0.0,0,12.0,15.0,12.928571428571429,0.0,4,9
2019-09-21,Amoxicillin,12.0,150.0,0.0,0,10.0,13.0,13.285714285714286,0.0,5,9
