brand_name,generic_name,status,reason_for_shortage,update_date,initial_posting_date
NORTRIPTYLINE HYDROCHLORIDE,NORTRIPTYLINE HYDROCHLORIDE,To Be Discontinued,,05/23/2025,05/23/2025
CLINDAMYCIN,CLINDAMYCIN PHOSPHATE,Current,,03/16/2026,03/21/2023
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE, AMPHETAMINE SULFATE TABLETS,CII","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE, AMPHETAMINE SULFATE TABLETS, 5 MG,CLL",Current,,03/17/2026,10/12/2022
BUPIVACAINE HYDROCHLORIDE,BUPIVACAINE HYDROCHLORIDE,Current,,03/13/2026,02/20/2018
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",Current,,10/15/2025,10/12/2022
DEXTROSE,DEXTROSE MONOHYDRATE,Current,,03/23/2026,02/14/2022
DEXTROSE,DEXTROSE MONOHYDRATE,Current,,03/18/2026,02/14/2022
PROPRANOLOL HYDROCHLORIDE,PROPRANOLOL HYDROCHLORIDE,Current,,03/12/2026,10/31/2023
CLEOCIN PHOSPHATE,CLINDAMYCIN PHOSPHATE,Current,,03/13/2026,03/21/2023
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/16/2026,07/14/2023
AMANTADINE HYDROCHLORIDE,AMANTADINE HYDROCHLORIDE,To Be Discontinued,,07/23/2025,07/23/2025
INSULIN DEGLUDEC,INSULIN DEGLUDEC,To Be Discontinued,,07/21/2025,07/21/2025
CLONAZEPAM,CLONAZEPAM,Current,,10/15/2025,03/10/2023
DEXTROSE,DEXTROSE MONOHYDRATE,Current,,03/23/2026,02/14/2022
QUINAPRIL,QUINAPRIL HYDROCHLORIDE,Current,,10/15/2025,01/19/2023
DEXAMETHASONE SODIUM PHOSPHATE,DEXAMETHASONE SODIUM PHOSPHATE,Current,,03/12/2026,02/08/2019
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/16/2026,07/14/2023
CARBAMAZEPINE,CARBAMAZEPINE,To Be Discontinued,,06/10/2025,06/10/2025
ITRACONAZOLE,ITRACONAZOLE,To Be Discontinued,,02/27/2026,02/27/2026
DEXTROSE,DEXTROSE,Current,,03/19/2026,02/14/2022
DOPAMINE HYDROCHLORIDE,DOPAMINE HYDROCHLORIDE,Current,,03/13/2026,11/06/2017
ROCURONIUM,ROCURONIUM BROMIDE,Current,,03/17/2026,02/15/2023
DEXTROSE,DEXTROSE MONOHYDRATE,Current,,03/23/2026,03/01/2022
METHAMPHETAMINE HYDROCHLORIDE,METHAMPHETAMINE HYDROCHLORIDE,Resolved,,01/27/2026,03/17/2023
CARBOPLATIN,CARBOPLATIN,Current,,03/16/2026,04/28/2023
EUTHYROX,LEVOTHYROXINE SODIUM,To Be Discontinued,,07/10/2025,07/10/2025
DEXMEDETOMIDINE IN DEXTROSE,DEXMEDETOMIDINE,Current,,03/18/2026,04/10/2020
LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE,LIDOCAINE HYDROCHLORIDE AND EPINEPHRINE,Current,,03/13/2026,02/22/2012
ROPIVACAINE HYDROCHLORIDE,ROPIVACAINE HYDROCHLORIDE,Current,,03/02/2026,12/22/2020
DEXTROSE,DEXTROSE MONOHYDRATE,Current,,03/23/2026,02/14/2022
METHOTREXATE,METHOTREXATE,Current,,03/13/2026,03/13/2023
CLONAZEPAM,CLONAZEPAM,Current,,03/17/2026,03/10/2023
HYRIMOZ,ADALIMUMAB-ADAZ,To Be Discontinued,,01/13/2026,01/13/2026
DOPAMINE HYDROCHLORIDE AND DEXTROSE,DOPAMINE HYDROCHLORIDE,Current,,03/23/2026,11/06/2017
EVEROLIMUS,EVEROLIMUS,To Be Discontinued,,03/02/2026,03/02/2026
SODIUM CHLORIDE,SODIUM CHLORIDE,To Be Discontinued,,12/03/2025,12/03/2025
DOCETAXEL,DOCETAXEL ANHYDROUS,To Be Discontinued,,06/24/2025,06/24/2025
METHYLPREDNISOLONE ACETATE,METHYLPREDNISOLONE ACETATE,Current,,03/17/2026,06/16/2022
CLONAZEPAM,CLONAZEPAM,Current,,08/19/2025,03/10/2023
EUTHYROX,LEVOTHYROXINE SODIUM,To Be Discontinued,,07/10/2025,07/10/2025
DEXMEDETOMIDINE HYDROCHLORIDE,DEXMEDETOMIDINE HYDROCHLORIDE IN 0.9% SODIUM CHLORIDE,Current,,03/18/2026,04/10/2020
,Fentanyl Citrate Injection,Current,,03/12/2026,12/20/2023
STERILE WATER,WATER,Current,,03/17/2026,11/23/2021
,Doxercalciferol Injection,To Be Discontinued,,12/10/2025,12/10/2025
METOPROLOL TARTRATE,METOPROLOL TARTRATE,To Be Discontinued,,06/03/2025,06/03/2025
PROSOL,"VALINE, LYSINE, HISTIDINE, ISOLEUCINE, LEUCINE, PHENYLALANINE, THREONINE, METHIONINE, TRYPTOPHAN, ALANINE, GLYCINE, ARGININE, PROLINE, GLUTAMIC ACID, SERINE, ASPARTIC ACID AND TYROSINE",Current,,03/23/2026,12/08/2020
LIDOCAINE HYDROCHLORIDE,LIDOCAINE HYDROCHLORIDE,Current,,03/18/2026,06/13/2018
,Doxercalciferol Injection,To Be Discontinued,,12/10/2025,12/10/2025
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",Current,,03/17/2026,10/12/2022
ATROPINE SULFATE,ATROPINE SULFATE,Current,,03/17/2026,01/01/2020
XYLOCAINE MPF,LIDOCAINE HYDROCHLORIDE,Current,,03/17/2026,10/14/2016
INFUMORPH 200,MORPHINE SULFATE,Current,,03/12/2026,11/03/2017
DEXMEDETOMIDINE HYDROCHLORIDE,DEXMEDETOMIDINE HYDROCHLORIDE,Current,,03/23/2026,04/10/2020
LIDOCAINE HYDROCHLORIDE,LIDOCAINE HYDROCHLORIDE,Current,,03/18/2026,02/20/2018
,Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,To Be Discontinued,,06/13/2025,06/13/2025
FUROSEMIDE,FUROSEMIDE,Current,,03/13/2026,04/07/2020
VANCOMYCIN HYDROCHLORIDE,VANCOMYCIN HYDROCHLORIDE,To Be Discontinued,,09/09/2025,09/09/2025
XYLOCAINE,"LIDOCAINE HYDROCHLORIDE,EPINEPHRINE BITARTRATE",Current,,03/17/2026,10/14/2016
MORPHINE SULFATE,MORPHINE SULFATE,Current,,03/13/2026,10/31/2017
PRECEDEX,DEXMEDETOMIDINE HYDROCHLORIDE,Current,,03/27/2026,04/10/2020
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/16/2026,07/14/2023
XYLOCAINE MPF,"LIDOCAINE HYDROCHLORIDE,EPINEPHRINE BITARTRATE",Current,,03/17/2026,10/14/2016
HALOPERIDOL DECANOATE,HALOPERIDOL DECANOATE,To Be Discontinued,,01/09/2026,01/09/2026
,Bacitracin Ophthalmic Ointment,Current,,02/04/2026,03/03/2025
,Everolimus Tablet,To Be Discontinued,,11/03/2025,11/03/2025
NALTREXONE HYDROCHLORIDE,NALTREXONE HYDROCHLORIDE,Resolved,,02/11/2026,02/29/2024
DEXTROSE,DEXTROSE MONOHYDRATE,Current,,03/23/2026,02/14/2022
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/18/2026,07/14/2023
DEXTROSE,DEXTROSE,Current,,03/19/2026,03/01/2022
BASAGLAR TEMPO PEN,INSULIN GLARGINE,To Be Discontinued,,10/24/2025,10/24/2025
MARCAINE,BUPIVACAINE HYDROCHLORIDE,Current,,03/13/2026,02/20/2018
FENTANYL CITRATE,FENTANYL CITRATE,Current,,03/17/2026,01/01/2012
OXALIPLATIN,OXALIPLATIN,To Be Discontinued,,02/25/2026,02/25/2026
DEXTROSE,DEXTROSE MONOHYDRATE,Current,,03/18/2026,02/14/2022
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/12/2026,07/14/2023
XYLOCAINE,"LIDOCAINE HYDROCHLORIDE,EPINEPHRINE BITARTRATE",Current,,03/17/2026,10/14/2016
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",Current,,03/24/2026,10/12/2022
BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE,Current,,03/13/2026,02/20/2018
FLURAZEPAM HYDROCHLORIDE,FLURAZEPAM HYDROCHLORIDE,Current,,02/02/2026,08/03/2022
PEGASYS,PEGINTERFERON ALFA-2A,Current,,08/19/2025,01/24/2025
DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,To Be Discontinued,,06/13/2025,06/13/2025
,Methotrexate Injection,To Be Discontinued,,08/29/2025,08/29/2025
DEXTROSE,DEXTROSE,Current,,03/19/2026,02/14/2022
SPORANOX,ITRACONAZOLE,To Be Discontinued,,02/27/2026,02/27/2026
TAZICEF,CEFTAZIDIME,To Be Discontinued,,11/14/2025,11/14/2025
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",Current,,03/16/2026,10/12/2022
AMPICILLIN,AMPICILLIN SODIUM,To Be Discontinued,,12/08/2025,12/08/2025
XYLOCAINE MPF,LIDOCAINE HYDROCHLORIDE,Current,,03/17/2026,10/14/2016
CONCERTA,METHYLPHENIDATE HYDROCHLORIDE,Current,,03/17/2026,07/26/2023
FENTANYL CITRATE,FENTANYL CITRATE,Current,,03/13/2026,01/01/2012
EUTHYROX,LEVOTHYROXINE SODIUM,To Be Discontinued,,07/10/2025,07/10/2025
CLEOCIN HYDROCHLORIDE,CLINDAMYCIN HYDROCHLORIDE,To Be Discontinued,,02/25/2026,02/25/2026
GLYBURIDE,GLYBURIDE,To Be Discontinued,,06/10/2025,06/10/2025
,Phenoxybenzamine Hydrochloride Capsule,To Be Discontinued,,12/01/2025,12/01/2025
FENTANYL CITRATE,FENTANYL CITRATE,Current,,03/13/2026,01/01/2012
DEPO-MEDROL,METHYLPREDNISOLONE ACETATE,Current,,03/27/2026,12/15/2021
DEXTROSE,DEXTROSE MONOHYDRATE,Current,,03/23/2026,10/11/2024
LIDOCAINE HYDROCHLORIDE,LIDOCAINE HYDROCHLORIDE,Current,,03/18/2026,06/13/2018
CLONAZEPAM,CLONAZEPAM,Current,,01/05/2026,03/10/2023
IRINOTECAN HYDROCHLORIDE,IRINOTECAN HYDROCHLORIDE,To Be Discontinued,,08/04/2025,08/04/2025
SYMLINPEN,PRAMLINTIDE ACETATE,To Be Discontinued,,10/27/2025,10/27/2025
FINASTERIDE,FINASTERIDE,To Be Discontinued,,08/19/2025,08/19/2025
OMVOH,MIRIKIZUMAB-MRKZ,To Be Discontinued,,12/22/2025,12/22/2025
FLURAZEPAM HYDROCHLORIDE,FLURAZEPAM HYDROCHLORIDE,Current,,02/02/2026,08/03/2022
LIDOCAINE HYDROCHLORIDE,LIDOCAINE HYDROCHLORIDE,Current,,03/18/2026,02/20/2018
CROMOLYN SODIUM,CROMOLYN SODIUM,Current,,03/02/2026,11/03/2023
REYVOW,LASMIDITAN,To Be Discontinued,,11/03/2025,11/03/2025
PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,Current,,01/08/2026,11/21/2023
AIRDUO RESPICLICK,FLUTICASONE PROPIONATE AND SALMETEROL,To Be Discontinued,,06/13/2025,06/13/2025
MORPHINE SULFATE,MORPHINE SULFATE,Current,,03/17/2026,10/31/2017
ESZOPICLONE,ESZOPICLONE,To Be Discontinued,,06/26/2025,06/26/2025
LIRAGLUTIDE,LIRAGLUTIDE,Current,,03/12/2026,07/18/2023
,Desmopressin Acetate Spray,Current,,09/17/2025,03/12/2021
,Lidocaine Hydrochloride Injection,Current,,08/19/2025,02/22/2012
ATROPINE SULFATE,ATROPINE SULFATE,Current,,03/17/2026,01/01/2012
GUANFACINE,GUANFACINE,To Be Discontinued,,11/13/2025,11/13/2025
NALTREXONE HYDROCHLORIDE,NALTREXONE HYDROCHLORIDE,Resolved,,02/11/2026,02/29/2024
GLYBURIDE,GLYBURIDE,To Be Discontinued,,06/10/2025,06/10/2025
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/17/2026,07/14/2023
DEXMEDETOMIDINE HYDROCHLORIDE,DEXMEDETOMIDINE HYDROCHLORIDE,Current,,09/29/2025,04/10/2020
XYLOCAINE MPF,LIDOCAINE HYDROCHLORIDE,Current,,03/17/2026,02/22/2012
ROCURONIUM,ROCURONIUM BROMIDE,Current,,03/17/2026,02/15/2023
HEPARIN SODIUM IN SODIUM CHLORIDE,HEPARIN SODIUM IN SODIUM CHLORIDE,Current,,03/19/2026,11/14/2017
OMEPRAZOLE,OMEPRAZOLE,To Be Discontinued,,10/09/2025,10/09/2025
FENTANYL CITRATE,FENTANYL CITRATE,Current,,03/17/2026,01/01/2012
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/17/2026,07/14/2023
PRECEDEX,DEXMEDETOMIDINE HYDROCHLORIDE,Current,,03/27/2026,04/10/2020
XYLOCAINE MPF,LIDOCAINE HYDROCHLORIDE,Current,,03/17/2026,02/22/2012
NAROPIN,ROPIVACAINE HYDROCHLORIDE,Current,,03/17/2026,03/23/2018
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",Current,,10/15/2025,10/12/2022
OXYBUTYNIN CHLORIDE,OXYBUTYNIN CHLORIDE,To Be Discontinued,,05/14/2025,05/14/2025
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",Current,,10/15/2025,10/12/2022
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE CAPSULES,Current,,11/05/2025,07/14/2023
DEXTROSE,DEXTROSE MONOHYDRATE,Current,,03/17/2026,03/01/2022
LIDOCAINE,LIDOCAINE,To Be Discontinued,,07/17/2025,07/17/2025
,Sodium Bicarbonate Injection,Current,,03/13/2026,03/01/2017
HYDROMORPHONE HYDROCHLORIDE,HYDROMORPHONE HYDROCHLORIDE,Current,,03/17/2026,10/31/2017
,Anagrelide Hydrochloride Capsule,To Be Discontinued,,11/19/2025,11/19/2025
,Frovatriptan Succinate Tablet,To Be Discontinued,,11/12/2025,11/12/2025
VYVANSE,LISDEXAMFETAMINE DIMESYLATE,Current,,01/09/2026,07/14/2023
,Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,To Be Discontinued,,06/13/2025,06/13/2025
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/17/2026,11/01/2023
TAZVERIK,TAZEMETOSTAT,To Be Discontinued,,03/27/2026,03/27/2026
ISONIAZID,ISONIAZID,To Be Discontinued,,07/01/2025,07/01/2025
PRAVASTATIN SODIUM,PRAVASTATIN SODIUM,To Be Discontinued,,06/13/2025,06/13/2025
IRINOTECAN HYDROCHLORIDE,IRINOTECAN HYDROCHLORIDE,To Be Discontinued,,08/04/2025,08/04/2025
LORAZEPAM,LORAZEPAM,Current,,03/12/2026,05/03/2018
DIVALPROEX SODIUM,DIVALPROEX SODIUM,To Be Discontinued,,04/28/2025,04/28/2025
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE CAPSULES,Current,,11/05/2025,07/14/2023
TRANYLCYPROMINE SULFATE,TRANYLCYPROMINE SULFATE,To Be Discontinued,,10/21/2025,10/21/2025
KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,Current,,09/17/2025,03/23/2018
ULTIVA,REMIFENTANIL HYDROCHLORIDE,Current,,03/18/2026,06/28/2022
HEPARIN SODIUM IN SODIUM CHLORIDE,HEPARIN SODIUM IN SODIUM CHLORIDE,Current,,03/19/2026,11/14/2017
,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Current,,03/16/2026,10/12/2022
DOBUTAMINE IN DEXTROSE,DOBUTAMINE IN DEXTROSE,Current,,03/13/2026,11/06/2017
VYVANSE,LISDEXAMFETAMINE DIMESYLATE,Current,,01/09/2026,07/14/2023
BUPIVACAINE HYDROCHLORIDE,BUPIVACAINE HYDROCHLORIDE,Current,,03/13/2026,02/20/2018
DEXTROAMPHETAMINE SACCHARATE AND AMPHETAMINE ASPARTATE AND DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE,DEXTROAMPHETAMINE SACCHARATE AND AMPHETAMINE ASPARTATE AND DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE,Current,,03/16/2026,10/12/2022
ROCURONIUM BROMIDE,ROCURONIUM BROMIDE,Current,,08/19/2025,02/15/2023
,Ketorolac Tromethamine Injection,Current,,09/29/2025,03/23/2018
RELEXXII,METHYLPHENIDATE HYDROCHLORIDE,Current,,03/17/2026,07/26/2023
,Ethionamide Tablet,To Be Discontinued,,07/16/2025,07/16/2025
LORAZEPAM,LORAZEPAM,Current,,03/13/2026,05/03/2018
AMANTADINE HYDROCHLORIDE,AMANTADINE HYDROCHLORIDE,To Be Discontinued,,07/23/2025,07/23/2025
LIDOCAINE HYDROCHLORIDE AND DEXTROSE,LIDOCAINE HYDROCHLORIDE ANHYDROUS AND DEXTROSE MONOHYDRATE,Current,,03/19/2026,10/25/2017
NAROPIN,ROPIVACAINE HYDROCHLORIDE,Current,,03/17/2026,03/23/2018
,Hydrochlorothiazide; Quinapril Hydrochloride Tablet,To Be Discontinued,,10/01/2025,10/01/2025
METHYLPHENIDATE HYDROCHLORIDE,METHYLPHENIDATE HYDROCHLORIDE,Current,,03/16/2026,07/26/2023
AMIDATE,ETOMIDATE,Current,,03/13/2026,10/05/2022
"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE","DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",Current,,03/16/2026,10/12/2022
CARBOPLATIN,CARBOPLATIN,Current,,03/17/2026,04/28/2023
SAXENDA,LIRAGLUTIDE,Current,,03/16/2026,07/18/2023
NAROPIN,ROPIVACAINE HYDROCHLORIDE,Current,,03/17/2026,03/23/2018
REYVOW,LASMIDITAN,To Be Discontinued,,11/03/2025,11/03/2025
,Midazolam Hydrochloride Injection,Current,,09/29/2025,04/02/2020
FUROSEMIDE,FUROSEMIDE,Current,,03/17/2026,04/07/2020
RELEXXII,METHYLPHENIDATE HYDROCHLORIDE,Current,,03/17/2026,07/26/2023
CARBOPLATIN,CARBOPLATIN,Current,,03/16/2026,04/28/2023
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/17/2026,11/01/2023
SODIUM ACETATE,SODIUM ACETATE,Current,,03/13/2026,02/03/2016
HYDROMORPHONE HYDROCHLORIDE,HYDROMORPHONE HYDROCHLORIDE,Current,,03/16/2026,11/01/2017
MIDAZOLAM,MIDAZOLAM HYDROCHLORIDE,Current,,03/13/2026,04/02/2020
FUROSEMIDE,FUROSEMIDE,Current,,03/17/2026,04/07/2020
METHYLPHENIDATE HYDROCHLORIDE,METHYLPHENIDATE HYDROCHLORIDE,Current,,03/16/2026,07/26/2023
CLONAZEPAM,CLONAZEPAM,Current,,03/17/2026,03/10/2023
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/18/2026,07/14/2023
SODIUM BICARBONATE,SODIUM BICARBONATE,Current,,03/16/2026,07/24/2017
DEXTROAMPHETAMINE SACCHARATE AND AMPHETAMINE ASPARTATE AND DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE,DEXTROAMPHETAMINE SACCHARATE AND AMPHETAMINE ASPARTATE AND DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE,Current,,03/16/2026,10/12/2022
,Nebivolol Hydrochloride Tablet,To Be Discontinued,,03/25/2026,03/25/2026
SOLU-CORTEF,HYDROCORTISONE SODIUM SUCCINATE,Resolved,,02/24/2026,03/24/2023
METHYLPREDNISOLONE ACETATE,METHYLPREDNISOLONE ACETATE,Current,,02/09/2026,12/15/2021
CLONAZEPAM,CLONAZEPAM,Current,,08/19/2025,03/10/2023
LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,Current,,03/18/2026,07/14/2023
,Sufentanil Citrate Injection,Current,,03/12/2026,05/03/2022
,Ketorolac Tromethamine Injection,Current,,09/29/2025,03/23/2018
NITROGLYCERIN IN DEXTROSE,NITROGLYCERIN,Resolved,,12/15/2025,10/06/2023
DILAUDID,HYDROMORPHONE HYDROCHLORIDE,Current,,03/17/2026,11/01/2017
,Midazolam Hydrochloride Injection,Current,,09/29/2025,04/02/2020
TRAVASOL,"LEUCINE, PHENYLALANINE, LYSINE HYDROCHLORIDE, METHIONINE, ISOLEUCINE, VALINE, HISTIDINE, THREONINE, TRYPTOPHAN, ALANINE, GLYCINE, ARGININE, PROLINE, TYROSINE, SERINE",Current,,03/23/2026,12/08/2020
ATIVAN,LORAZEPAM,Current,,03/12/2026,09/05/2018
,"Testosterone Gel; Gel, Metered",To Be Discontinued,,06/16/2025,06/16/2025
,Lidocaine Hydrochloride Injection,Current,,08/19/2025,02/22/2012
DELFLEX,"DEXTROSE MONOHYDRATE, SODIUM CHLORIDE, SODIUM LACTATE, CALCIUM CHLORIDE, MAGNESIUM CHLORIDE",To Be Discontinued,,03/10/2026,03/10/2026
KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,Current,,03/17/2026,03/23/2018
MIDAZOLAM,MIDAZOLAM HYDROCHLORIDE,Current,,03/13/2026,04/02/2020
CROMOLYN SODIUM,CROMOLYN SODIUM,Current,,03/16/2026,11/03/2023
DEMEROL,MEPERIDINE HYDROCHLORIDE,Current,,03/13/2026,05/30/2025
VFEND,VORICONAZOLE,To Be Discontinued,,07/28/2025,07/28/2025
KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,Current,,03/13/2026,03/26/2018
CONDYLOX,PODOFILOX,To Be Discontinued,,01/28/2026,01/28/2026
LACTATED RINGERS,"SODIUM CHLORIDE, SODIUM LACTATE, POTASSIUM CHLORIDE, AND CALCIUM CHLORIDE",Resolved,,10/03/2025,10/11/2024
NITROGLYCERIN IN DEXTROSE,NITROGLYCERIN,Resolved,,12/15/2025,10/06/2023
DEXMEDETOMIDINE HYDROCHLORIDE,DEXMEDETOMIDINE HYDROCHLORIDE,Current,,03/23/2026,04/10/2020
METHYLPHENIDATE HYDROCHLORIDE,METHYLPHENIDATE HYDROCHLORIDE,Current,,03/16/2026,07/26/2023
ALBUTEROL SULFATE,ALBUTEROL SULFATE,Current,,01/14/2026,10/25/2022
